Order ID,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Amount Refunded,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Lineitem variant,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Address1,Billing Address2,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Address1,Shipping Address2,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Cancelled at,Private Notes,Channel Type,Channel Name,Channel Order Number,Checkout Form: Notes & Special Instructions,Product Form: Parent/Guardian Name,Product Form: Parent/Guardian Phone,Product Form: Student Name/ Names,Product Form: Student Grade/ Grades,"Product Form: Please list any interests, special needs, allergies or other information about the student that you would like the teacher to know.",Product Form: How did you hear about Big Picture?,Product Form: CHECK OUT INSTRUCTIONS,Payment Method,Payment Reference
2918,director@bpgalleryandstudio.com,PAID,2022-01-31 08:52:21 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-31 08:52:21 -0600,1,Beginning Artist Studio,64,SQ3308422,"3/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2918,,Jane Doe,(319) 343-7240,Johnny Doe,4,,,,Stripe,ch_3KO1EvAa5nK8OUXS3y6PSK29
2910,director@bpgalleryandstudio.com,PAID,2022-01-28 18:30:41 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-28 18:30:41 -0600,1,Beginning Artist Studio,64,SQ8004107,"2/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2910,,John Doe,(319) 343-7240,Janie Doe,2,,,,Stripe,ch_3KN4pxAa5nK8OUXS2TrWfJLZ
2909,director@bpgalleryandstudio.com,PAID,2022-01-28 17:38:42 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-28 17:38:42 -0600,1,Beginning Artist Studio,64,SQ8004107,"2/Tuesday, 4 - 5pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2909,,Jane Doe,(319) 343-7240,Johnny Doe,2,None,Friend,,Stripe,ch_3KN41eAa5nK8OUXS0R6a4WcY
2908,director@bpgalleryandstudio.com,PAID,2022-01-28 17:08:22 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-28 17:08:22 -0600,1,Beginning Artist Studio,64,SQ8004107,"2/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2908,,John Doe,(319) 343-7240,Janie Doe,1,,,,Stripe,ch_3KN3YIAa5nK8OUXS1fqDvPW1
2893,director@bpgalleryandstudio.com,PAID,2022-01-24 20:10:18 -0600,pending,,USD,128,0,0,0,128,,0,,2022-01-24 20:10:18 -0600,2,Beginning Artist Studio,64,SQ0084882,"2/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2893,,Jane Doe,(319) 343-7240,Johnny Doe,"1, 2",,Iowa city mom's blog,,Stripe,ch_3KLeUAAa5nK8OUXS1BUe9WYZ
2889,director@bpgalleryandstudio.com,PAID,2022-01-24 12:48:08 -0600,pending,,USD,128,0,0,0,128,,0,,2022-01-24 12:48:08 -0600,1,Beginning Artist Studio,64,SQ9951357,"4/Wednesday, 5:15 - 6:15pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2889,,John Doe,(319) 343-7240,Janie Doe,1,none,previous student,,Stripe,ch_3KLXaGAa5nK8OUXS2ZY71z5z
2889,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ0084882,"2/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,Jane Doe,(319) 343-7240,Johnny Doe,1,none,previous student,,,
2883,director@bpgalleryandstudio.com,PAID,2022-01-22 14:27:54 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-22 14:27:54 -0600,1,Beginning Artist Studio,64,SQ0084882,"2/Monday, 6:30 - 7:30pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2883,,John Doe,(319) 343-7240,Janie Doe,Pre-k k,"Coloring, drawing. Craft, shapes",Friend,,Stripe,ch_3KKqBiAa5nK8OUXS30EEYMp1
2874,director@bpgalleryandstudio.com,PAID,2022-01-19 19:26:38 -0600,pending,,USD,256,0,0,0,256,,0,,2022-01-19 19:26:38 -0600,1,Beginning Artist Studio,64,SQ0084882,"2/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2874,,Jane Doe,(319) 343-7240,Johnny Doe,2nd,,Tried out session one and loves it.,,Stripe,ch_3KJpQBAa5nK8OUXS1i4nag2p
2874,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ0759320,"3/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,John Doe,(319) 343-7240,Janie Doe,2nd,,,,,
2874,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ3502997,"4/Tuesday, 4 - 5pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,Jane Doe,(319) 343-7240,Johnny Doe,2nd,,,,,
2874,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ4865456,"5/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,John Doe,(319) 343-7240,Janie Doe,2nd,,,,,
2863,director@bpgalleryandstudio.com,PAID,2022-01-16 10:15:14 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-16 10:15:14 -0600,1,Beginning Artist Studio,64,SQ0084882,"2/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2863,,Jane Doe,(319) 343-7240,Johnny Doe,4,,,,Stripe,ch_3KIbNvAa5nK8OUXS1o9SsI2I
2854,director@bpgalleryandstudio.com,PAID,2022-01-13 13:26:37 -0600,pending,,USD,128,0,0,0,128,,0,,2022-01-13 13:26:37 -0600,1,Beginning Artist Studio,64,SQ0759320,"3/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2854,,John Doe,(319) 343-7240,Janie Doe,KG,,,,Stripe,ch_3KHYwTAa5nK8OUXS1Of0ZKWI
2839,director@bpgalleryandstudio.com,PAID,2022-01-03 14:12:22 -0600,pending,,USD,64,0,0,0,64,,0,,2022-01-03 14:12:22 -0600,1,Beginning Artist Studio,64,SQ9983885,"1/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2839,,Jane Doe,(319) 343-7240,Johnny Doe,1st,,,,Stripe,ch_3KDwtHAa5nK8OUXS32cM6Ycb
